Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR2641635_bin.10	17.96	0.02	Neural Network (Specific Model)	11	0.875	20434	319.22610294117646	594505	0.48	544	46	56835	None
ERR2641635_bin.11	93.75	90.58	Neural Network (Specific Model)	11	0.888	23178	312.73126142595976	5192956	0.42	4923	371	74923	None
ERR2641635_bin.12	8.18	0.01	Neural Network (Specific Model)	11	0.833	21557	227.8186813186813	297887	0.44	364	22	53032	None
ERR2641635_bin.13	98.31	1.1	Neural Network (Specific Model)	11	0.911	24257	322.7213887698243	2474649	0.38	2333	153	84987	None
ERR2641635_bin.14	75.69	1.39	Neural Network (Specific Model)	11	0.896	6597	295.44547134935306	2137780	0.44	2164	403	29691	None
ERR2641635_bin.17	38.05	0.01	Neural Network (Specific Model)	11	0.908	93743	369.51732673267327	1970830	0.44	1616	28	234064	None
ERR2641635_bin.19	6.5	0.02	Neural Network (Specific Model)	11	0.847	14430	255.64389233954452	435531	0.35	483	65	32671	None
ERR2641635_bin.21	97.25	0.0	Neural Network (Specific Model)	11	0.912	22444	327.61829944547134	2328092	0.38	2164	151	54966	None
ERR2641635_bin.22	77.2	18.11	Neural Network (Specific Model)	11	0.882	106094	353.8521303258145	2397638	0.6	1995	34	598462	None
ERR2641635_bin.23	7.8	0.17	Neural Network (Specific Model)	11	0.86	7230	251.71428571428572	263581	0.44	301	43	25140	None
ERR2641635_bin.25	11.15	0.0	Neural Network (Specific Model)	11	0.857	36313	285.68226600985224	405257	0.41	406	22	47543	None
ERR2641635_bin.26	46.21	1.96	Gradient Boost (General Model)	11	0.888	3628	254.0963503649635	1173900	0.6	1370	360	11660	None
ERR2641635_bin.28	90.95	0.53	Neural Network (Specific Model)	11	0.911	39123	355.68998923573736	4347924	0.47	3716	157	165252	None
ERR2641635_bin.3	95.77	1.52	Gradient Boost (General Model)	11	0.894	51132	309.43654822335026	1634718	0.28	1576	60	140276	None
ERR2641635_bin.30	41.56	0.11	Neural Network (Specific Model)	11	0.898	213323	328.3377483443709	827252	0.59	755	5	274123	None
ERR2641635_bin.36	91.03	5.55	Neural Network (Specific Model)	11	0.898	19576	306.4637571157495	2693131	0.37	2635	204	74507	None
ERR2641635_bin.37	94.82	9.77	Neural Network (Specific Model)	11	0.907	12192	359.03299247540036	6144979	0.42	5183	735	59563	None
ERR2641635_bin.40	49.35	4.72	Neural Network (Specific Model)	11	0.896	3569	294.749383325111	1997883	0.44	2027	596	18022	None
ERR2641635_bin.41	55.2	0.08	Gradient Boost (General Model)	11	0.928	3527	268.7152658662093	1010915	0.48	1166	318	12488	None
ERR2641635_bin.42	49.39	0.09	Neural Network (Specific Model)	11	0.881	3871	263.25515660809776	1171924	0.6	1309	325	17398	None
ERR2641635_bin.43	92.42	1.59	Neural Network (Specific Model)	11	0.907	63781	318.3575709149021	2631183	0.44	2503	67	171248	None
ERR2641635_bin.45	76.31	3.25	Neural Network (Specific Model)	11	0.912	7695	303.61259628454917	2199176	0.38	2207	367	45697	None
ERR2641635_bin.48	46.13	0.06	Neural Network (Specific Model)	11	0.874	147299	390.28165374677	1036015	0.6	774	9	409111	None
ERR2641635_bin.49	38.51	0.79	Neural Network (Specific Model)	11	0.87	38195	320.46424384525204	941246	0.6	853	32	105454	None
ERR2641635_bin.5	4.98	0.26	Neural Network (Specific Model)	11	0.866	9711	256.4206008583691	206471	0.45	233	24	27590	None
ERR2641635_bin.50	34.98	8.82	Neural Network (Specific Model)	11	0.87	6376	242.66873212583414	1749284	0.35	2098	351	32056	None
ERR2641635_bin.51	98.62	0.46	Gradient Boost (General Model)	11	0.9	51365	296.8130841121495	1795368	0.46	1819	46	139750	None
ERR2641635_bin.53	97.73	12.2	Gradient Boost (General Model)	11	0.859	24266	302.1344199830652	4972500	0.37	4724	400	89902	None
ERR2641635_bin.54	54.85	0.06	Neural Network (Specific Model)	11	0.918	117414	361.0799031476998	2433410	0.46	2065	30	240482	None
ERR2641635_bin.56	23.69	0.02	Neural Network (Specific Model)	11	0.884	147195	317.572972972973	995369	0.42	925	12	256112	None
ERR2641635_bin.58	6.84	0.02	Neural Network (Specific Model)	11	0.86	9631	295.8956834532374	286666	0.36	278	37	34407	None
ERR2641635_bin.6	8.26	0.08	Neural Network (Specific Model)	11	0.867	31502	274.47222222222223	204479	0.48	216	12	43873	None
ERR2641635_bin.60	87.92	10.81	Neural Network (Specific Model)	11	0.862	19813	314.06489028213167	3481771	0.42	3190	272	114554	None
ERR2641635_bin.61	5.39	0.0	Neural Network (Specific Model)	11	0.878	37092	306.80099502487565	210070	0.47	201	6	57470	None
ERR2641635_bin.62	68.13	1.6	Neural Network (Specific Model)	11	0.881	34059	322.04977375565613	1693904	0.61	1547	80	71239	None
ERR2641635_bin.63	80.75	2.0	Neural Network (Specific Model)	11	0.875	27290	316.30881458966564	1782821	0.6	1645	97	72630	None
ERR2641635_bin.64	99.81	3.56	Neural Network (Specific Model)	11	0.854	63079	334.1470113085622	2903617	0.37	2476	81	133744	None
ERR2641635_bin.66	93.82	1.95	Gradient Boost (General Model)	11	0.888	34643	319.1237509607994	2799032	0.49	2602	128	184925	None
ERR2641635_bin.7	12.98	0.01	Neural Network (Specific Model)	11	0.869	293039	339.6461038961039	360418	0.61	308	2	293039	None
ERR2641635_bin.8	5.41	0.0	Neural Network (Specific Model)	11	0.918	48204	294.6326530612245	235576	0.48	245	5	100172	None
ERR2641677_bin.10	99.95	2.83	Neural Network (Specific Model)	11	0.882	50197	324.74584717607974	2654860	0.43	2408	94	168898	None
ERR2641677_bin.11	55.28	0.87	Gradient Boost (General Model)	11	0.909	7277	273.2610410094637	1140884	0.42	1268	207	27793	None
ERR2641677_bin.12	41.87	0.05	Gradient Boost (General Model)	11	0.906	9715	306.10973084886126	977289	0.47	966	131	30464	None
ERR2641677_bin.13	88.12	0.9	Neural Network (Specific Model)	11	0.897	61823	317.3976116762494	2395074	0.41	2261	75	131051	None
ERR2641677_bin.14	78.13	0.0	Neural Network (Specific Model)	11	0.894	162736	318.6381074168798	1668767	0.46	1564	15	309190	None
ERR2641677_bin.15	82.06	0.72	Neural Network (Specific Model)	11	0.9	15808	314.52049360951963	2374874	0.42	2269	220	56386	None
ERR2641677_bin.17	79.77	1.06	Neural Network (Specific Model)	11	0.909	6743	347.71824104234526	2814124	0.39	2456	531	28322	None
ERR2641677_bin.18	59.2	4.08	Neural Network (Specific Model)	11	0.943	3360	276.11851332398317	1250306	0.38	1426	405	11182	None
ERR2641677_bin.19	99.21	0.09	Neural Network (Specific Model)	11	0.883	41160	331.8250222617988	2529302	0.36	2246	101	111658	None
ERR2641677_bin.2	13.85	0.0	Neural Network (Specific Model)	11	0.915	16186	316.2163009404389	330011	0.44	319	28	37858	None
ERR2641677_bin.20	89.33	12.87	Neural Network (Specific Model)	11	0.904	17594	352.0103767560664	7305307	0.42	6264	650	96779	None
ERR2641677_bin.22	61.77	0.78	Neural Network (Specific Model)	11	0.911	3803	306.08276740237693	2370851	0.44	2356	673	13184	None
ERR2641677_bin.23	86.4	3.17	Neural Network (Specific Model)	11	0.904	33008	364.84161073825504	3605170	0.46	2980	165	152239	None
ERR2641677_bin.25	82.84	0.99	Neural Network (Specific Model)	11	0.91	9752	306.4302612124199	2046400	0.38	2029	295	29201	None
ERR2641677_bin.26	36.23	0.05	Neural Network (Specific Model)	11	0.888	62804	322.41263940520446	877826	0.47	807	28	134026	None
ERR2641677_bin.27	21.15	0.0	Neural Network (Specific Model)	11	0.932	3185	326.69255319148937	986651	0.46	940	325	10266	None
ERR2641677_bin.30	87.79	0.13	Neural Network (Specific Model)	11	0.904	86896	377.15610378562315	2940719	0.59	2351	53	297024	None
ERR2641677_bin.32	78.03	12.25	Neural Network (Specific Model)	11	0.898	7380	293.67198581560285	2208528	0.42	2256	403	37247	None
ERR2641677_bin.36	89.29	19.01	Neural Network (Specific Model)	11	0.913	12223	354.5977970627503	6973248	0.42	5992	882	54530	None
ERR2641677_bin.37	9.48	0.24	Neural Network (Specific Model)	11	0.861	6736	243.52369668246445	356946	0.52	422	65	29289	None
ERR2641677_bin.39	96.03	15.16	Neural Network (Specific Model)	11	0.875	28188	320.89069111424544	4675040	0.43	4254	292	93289	None
ERR2641677_bin.41	13.24	0.85	Neural Network (Specific Model)	11	0.828	50593	304.470054446461	606942	0.39	551	23	83117	None
ERR2641677_bin.43	95.3	1.1	Neural Network (Specific Model)	11	0.874	69509	342.1003562945368	1975838	0.6	1684	40	187497	None
ERR2641677_bin.45	92.05	1.85	Neural Network (Specific Model)	11	0.879	41087	343.08546059933406	2107921	0.6	1802	86	178282	None
ERR2641677_bin.46	8.36	0.0	Neural Network (Specific Model)	11	0.874	27257	331.46534653465346	229458	0.4	202	17	52724	None
ERR2641677_bin.47	11.59	0.01	Neural Network (Specific Model)	11	0.884	45263	320.46440677966103	320347	0.54	295	13	73426	None
ERR2641677_bin.48	89.99	1.26	Neural Network (Specific Model)	11	0.903	67453	320.620753323486	2877240	0.44	2708	73	217242	None
ERR2641677_bin.49	20.03	0.0	Neural Network (Specific Model)	11	0.886	252115	326.2397094430993	455341	0.46	413	6	252115	None
ERR2641677_bin.5	97.99	73.45	Neural Network (Specific Model)	11	0.89	7114	298.581345985766	8043731	0.43	8009	1480	60426	None
ERR2641677_bin.50	99.74	19.04	Neural Network (Specific Model)	11	0.839	13764	279.98644138506467	4786708	0.37	4794	562	89936	None
ERR2641677_bin.51	16.34	1.34	Neural Network (Specific Model)	11	0.877	19694	259.50480256136603	829033	0.52	937	66	156765	None
ERR2641677_bin.52	54.27	3.14	Neural Network (Specific Model)	11	0.882	3510	260.2370990237099	1267118	0.62	1434	397	16458	None
ERR2641677_bin.53	46.97	0.35	Neural Network (Specific Model)	11	0.873	3957	278.5143266475645	1333295	0.5	1396	364	23463	None
ERR2641677_bin.54	84.89	0.01	Neural Network (Specific Model)	11	0.895	47763	346.735278791037	2225434	0.42	1919	72	286436	None
ERR2641677_bin.55	100.0	0.15	Neural Network (Specific Model)	11	0.887	88595	349.29677980852915	2709916	0.56	2298	47	197313	None
ERR2641677_bin.56	10.89	0.1	Neural Network (Specific Model)	11	0.821	51667	234.39953810623555	370208	0.41	433	17	71847	None
ERR2641677_bin.57	8.93	0.02	Neural Network (Specific Model)	11	0.867	8992	283.4846625766871	319301	0.34	326	39	41833	None
ERR2641677_bin.59	84.46	6.45	Gradient Boost (General Model)	11	0.919	8081	308.2590987868284	2317931	0.45	2308	374	45806	None
ERR2641677_bin.6	5.6	0.0	Neural Network (Specific Model)	11	0.922	13058	384.76444444444445	281596	0.48	225	39	28222	None
ERR2641677_bin.60	52.3	0.05	Neural Network (Specific Model)	11	0.919	3416	302.47356188262637	1696956	0.61	1721	538	10434	None
ERR2641677_bin.64	52.1	0.1	Neural Network (Specific Model)	11	0.906	3713	278.89805375347544	994977	0.55	1079	293	10717	None
ERR2641677_bin.65	100.0	0.17	Gradient Boost (General Model)	11	0.892	13424	286.7554704595186	1760021	0.49	1828	169	43596	None
ERR2641677_bin.67	97.1	0.41	Neural Network (Specific Model)	11	0.896	73784	332.92680986475733	2797801	0.47	2514	72	182453	None
ERR2641677_bin.69	100.0	1.14	Gradient Boost (General Model)	11	0.898	50068	337.039685820587	2720978	0.44	2419	82	165917	None
ERR2641677_bin.71	92.73	1.59	Neural Network (Specific Model)	11	0.897	24877	296.1119554204661	1950363	0.34	1974	132	56407	None
ERR2641677_bin.73	100.0	2.63	Neural Network (Specific Model)	11	0.876	171492	357.13857064920893	2238736	0.56	1833	27	370725	None
ERR2641677_bin.8	4.46	0.01	Neural Network (Specific Model)	11	0.88	40169	251.77580071174378	240439	0.5	281	7	69716	None
ERR2641677_bin.9	63.06	6.87	Gradient Boost (General Model)	11	0.907	2455	250.4018691588785	1413524	0.63	1712	571	7865	None
ERR2641733_bin.1	52.57	0.01	Neural Network (Specific Model)	11	0.903	3091	294.8415254237288	1153425	0.49	1180	386	10680	None
ERR2641733_bin.10	15.64	0.0	Neural Network (Specific Model)	11	0.879	94885	392.04247104247105	346361	0.6	259	6	95924	None
ERR2641733_bin.12	86.11	2.26	Gradient Boost (General Model)	11	0.911	16464	312.67712733856365	1704033	0.61	1657	156	83487	None
ERR2641733_bin.14	38.31	0.17	Neural Network (Specific Model)	11	0.883	74321	304.9951397326853	851517	0.39	823	20	135002	None
ERR2641733_bin.2	85.62	0.03	Gradient Boost (General Model)	11	0.864	6750	292.4841075794621	1658980	0.45	1636	310	45473	None
ERR2641733_bin.20	74.1	7.56	Gradient Boost (General Model)	11	0.881	5313	272.6410014170997	1962254	0.58	2117	440	30199	None
ERR2641733_bin.21	53.61	0.28	Neural Network (Specific Model)	11	0.902	238280	351.35648148148147	1008679	0.59	864	15	287588	None
ERR2641733_bin.23	13.1	0.0	Neural Network (Specific Model)	11	0.905	2568	244.94610778443115	406013	0.59	501	164	5819	None
ERR2641733_bin.25	5.99	0.0	Neural Network (Specific Model)	11	0.886	21466	317.29328621908127	303216	0.38	283	24	100823	None
ERR2641733_bin.27	6.98	0.0	Neural Network (Specific Model)	11	0.852	28243	243.03076923076924	221861	0.54	260	18	62085	None
ERR2641733_bin.28	54.71	0.27	Neural Network (Specific Model)	11	0.92	36202	386.93383458646616	1676729	0.61	1330	74	93191	None
ERR2641733_bin.29	20.93	0.05	Neural Network (Specific Model)	11	0.93	2529	278.9157142857143	628800	0.44	700	254	6834	None
ERR2641733_bin.3	82.96	0.15	Neural Network (Specific Model)	11	0.918	5597	353.9502202643172	2620741	0.44	2270	571	21710	None
ERR2641733_bin.30	93.83	10.86	Neural Network (Specific Model)	11	0.879	30884	317.47727272727275	2287090	0.59	2112	106	108083	None
ERR2641733_bin.31	99.93	0.44	Neural Network (Specific Model)	11	0.868	72978	325.69174041297936	2285927	0.55	2034	50	254698	None
ERR2641733_bin.32	7.33	0.18	Neural Network (Specific Model)	11	0.867	16272	291.0108108108108	371620	0.52	370	38	47153	None
ERR2641733_bin.33	78.05	1.75	Neural Network (Specific Model)	11	0.905	6640	330.30557184750734	1864388	0.56	1705	336	37334	None
ERR2641733_bin.35	95.08	0.28	Gradient Boost (General Model)	11	0.9	19833	321.4449404761905	2155900	0.55	2016	157	91019	None
ERR2641733_bin.36	88.43	47.58	Neural Network (Specific Model)	11	0.923	6414	341.06608924872904	5882388	0.6	5311	1167	72291	None
ERR2641733_bin.37	68.04	4.42	Gradient Boost (General Model)	11	0.909	4234	260.2871621621622	1776614	0.57	2072	480	20631	None
ERR2641733_bin.38	26.58	0.59	Neural Network (Specific Model)	11	0.938	2854	310.76345840130506	1216320	0.46	1226	441	10076	None
ERR2641733_bin.39	49.9	1.8	Neural Network (Specific Model)	11	0.887	3366	262.1278600269179	1315298	0.6	1486	426	13176	None
ERR2641733_bin.4	20.88	1.78	Neural Network (Specific Model)	11	0.948	2086	287.9663157894737	432366	0.33	475	200	7515	None
ERR2641733_bin.40	54.88	0.0	Neural Network (Specific Model)	11	0.893	12782	312.6238410596026	791846	0.46	755	90	60493	None
ERR2641733_bin.41	85.99	1.58	Neural Network (Specific Model)	11	0.915	9505	306.20594713656385	1819139	0.42	1816	272	31044	None
ERR2641733_bin.42	30.31	0.0	Neural Network (Specific Model)	11	0.865	71947	379.65294117647056	671195	0.6	510	14	168072	None
ERR2641733_bin.44	94.76	0.39	Neural Network (Specific Model)	11	0.902	22909	361.8301728945901	4308639	0.42	3586	307	83729	None
ERR2641733_bin.47	66.89	1.66	Neural Network (Specific Model)	11	0.9	4248	290.8773841961853	1776974	0.57	1835	496	13484	None
ERR2641733_bin.48	84.48	0.44	Neural Network (Specific Model)	11	0.894	50638	352.52959288402326	3452817	0.4	2923	135	156562	None
ERR2641733_bin.5	15.52	1.12	Neural Network (Specific Model)	11	0.89	2046	232.60521885521885	928069	0.35	1188	430	7676	None
ERR2641733_bin.50	97.79	3.52	Gradient Boost (General Model)	11	0.886	16288	318.050505050505	2875379	0.49	2673	255	124603	None
ERR2641733_bin.51	79.64	0.69	Gradient Boost (General Model)	11	0.867	8772	305.1730769230769	1808526	0.5	1716	264	54579	None
ERR2641733_bin.52	42.55	2.15	Gradient Boost (General Model)	11	0.898	2547	244.43120805369128	970582	0.61	1192	376	14787	None
ERR2641733_bin.53	80.03	5.15	Neural Network (Specific Model)	11	0.869	12399	291.85896180215474	2055316	0.58	2042	248	74844	None
ERR2641733_bin.55	47.43	0.47	Gradient Boost (General Model)	11	0.893	20568	367.17770034843204	1413802	0.45	1148	106	53142	None
ERR2641733_bin.56	11.01	0.04	Neural Network (Specific Model)	11	0.861	15403	278.5132275132275	365797	0.4	378	45	64893	None
ERR2641733_bin.6	73.53	11.79	Gradient Boost (General Model)	11	0.897	4333	271.075708647291	2520452	0.59	2787	680	21104	None
ERR2641733_bin.60	86.71	4.98	Gradient Boost (General Model)	11	0.87	29848	301.1952301719357	1870515	0.59	1803	103	110586	None
ERR2641733_bin.61	93.76	3.4	Neural Network (Specific Model)	11	0.889	57041	319.32331975560083	2112274	0.6	1964	59	154428	None
ERR2641733_bin.62	91.12	2.66	Gradient Boost (General Model)	11	0.9	32856	314.8137421919364	1845188	0.63	1761	79	86783	None
ERR2641733_bin.64	100.0	0.48	Gradient Boost (General Model)	11	0.886	57684	310.063976945245	1818652	0.54	1735	46	297419	None
ERR2641733_bin.65	39.48	0.08	Neural Network (Specific Model)	11	0.918	16737	368.5494296577947	1266149	0.48	1052	116	41344	None
ERR2641733_bin.7	21.02	0.41	Neural Network (Specific Model)	11	0.895	2321	246.9522546419098	622891	0.59	754	263	7367	None
ERR2641733_bin.70	87.06	27.36	Neural Network (Specific Model)	11	0.892	6350	304.86345933562427	4467047	0.44	4365	896	85541	None
ERR2641733_bin.71	99.89	0.71	Neural Network (Specific Model)	11	0.874	138162	338.3451086956522	2135058	0.6	1840	29	211177	None
ERR2641733_bin.72	6.45	0.01	Neural Network (Specific Model)	11	0.836	77925	244.13213213213214	291351	0.46	333	13	79740	None
ERR2641733_bin.73	62.8	0.18	Neural Network (Specific Model)	11	0.877	118918	314.4482484076433	1348233	0.41	1256	18	200423	None
ERR2641733_bin.74	5.65	0.02	Neural Network (Specific Model)	11	0.849	197276	260.03041825095056	241552	0.47	263	3	197276	None
ERR2641733_bin.75	70.56	0.21	Neural Network (Specific Model)	11	0.901	14115	316.98451834862385	1838976	0.43	1744	181	38936	None
ERR2641733_bin.77	97.98	0.75	Gradient Boost (General Model)	11	0.896	93627	337.8910081743869	2902920	0.44	2569	38	230466	None
ERR2641733_bin.79	43.95	0.41	Neural Network (Specific Model)	11	0.83	14115	296.24407114624506	1082372	0.51	1012	110	66254	None
ERR2641733_bin.80	8.15	0.0	Neural Network (Specific Model)	11	0.892	2333	250.6235741444867	221247	0.61	263	95	5772	None
ERR2641733_bin.81	7.49	0.0	Neural Network (Specific Model)	11	0.876	38922	306.36170212765956	245965	0.49	235	13	76350	None
ERR2641733_bin.83	91.47	1.81	Gradient Boost (General Model)	11	0.877	7393	309.50019018638267	2777562	0.58	2629	481	37016	None
ERR2641733_bin.84	84.39	5.49	Gradient Boost (General Model)	11	0.886	4057	273.7203928365107	1603028	0.6	1731	441	19681	None
ERR2641733_bin.85	6.88	0.0	Neural Network (Specific Model)	11	0.895	11461	221.5248041775457	283400	0.54	383	45	44998	None
ERR2641733_bin.86	77.48	0.5	Gradient Boost (General Model)	11	0.886	58101	328.4217228464419	1482129	0.47	1335	48	209130	None
ERR2641733_bin.9	94.42	0.27	Neural Network (Specific Model)	11	0.915	23377	327.71971066907776	2372298	0.38	2212	154	117026	None
SRR059458_bin.1	86.0	0.42	Neural Network (Specific Model)	11	0.884	8267	323.77868852459017	2007373	0.39	1830	335	31987	None
SRR059458_bin.10	82.67	0.63	Neural Network (Specific Model)	11	0.876	11231	323.38430173292556	2170445	0.46	1962	281	43257	None
SRR059458_bin.11	90.24	0.0	Neural Network (Specific Model)	11	0.902	67063	328.4668989547038	1563741	0.47	1435	39	123692	None
SRR059458_bin.13	69.9	2.75	Gradient Boost (General Model)	11	0.91	62536	363.28998968008256	1159361	0.43	969	33	169265	None
SRR059458_bin.14	26.01	1.6	Neural Network (Specific Model)	11	0.894	6047	322.744094488189	549377	0.54	508	110	17048	None
SRR059458_bin.18	99.9	0.56	Neural Network (Specific Model)	11	0.91	41822	351.0763005780347	1998228	0.56	1730	80	139103	None
SRR059458_bin.19	31.58	13.18	Neural Network (Specific Model)	11	0.875	5209	295.66606660666065	1124115	0.53	1111	262	18685	None
SRR059458_bin.2	46.5	0.95	Neural Network (Specific Model)	11	0.888	20734	307.7365930599369	658292	0.37	634	44	65253	None
SRR059458_bin.20	80.97	35.52	Neural Network (Specific Model)	11	0.89	6433	328.94134897360703	2642592	0.53	2387	502	29373	None
SRR059458_bin.21	86.26	1.48	Gradient Boost (General Model)	11	0.913	22648	333.70300261096605	1675612	0.53	1532	116	62301	None
SRR059458_bin.22	84.0	0.06	Neural Network (Specific Model)	11	0.882	47533	352.4428473648186	1750512	0.35	1461	64	107961	None
SRR059458_bin.24	23.62	0.0	Neural Network (Specific Model)	11	0.871	107025	357.22049689440996	396042	0.42	322	3	194789	None
SRR059458_bin.25	55.06	0.56	Neural Network (Specific Model)	11	0.877	15137	355.6228323699422	841352	0.43	692	86	33624	None
